['Nome', 'Partido', 'Número']
['Elaine Silva', 'PP', 1167]
['Eldo Silva', 'Cidadania', 2377]
['Eli Corrêa Filho', 'União', 4477]
['Eliana Fernandes', 'PSD', 5516]
['Eliana Lima', 'AGIR', 3614]
['Eliana Marucci', 'MDB', 1582]
['Elias Aracati da Ambulância', 'Avante', 7092]
['Elias de Mococa', 'PSB', 4051]
['Elias Guimaraes', 'PTB', 1432]
['Elias Teixeira Treinador', 'AGIR', 3663]
['Eliel Miranda', 'PSD', 5553]
['Eliete Nunes', 'Cidadania', 2322]
['Elis Regina', 'PSC', 2002]
['Elisabete Tahan', 'PSC', 2084]
['Elisangela Ferreira', 'PRTB', 2837]
['Elisângela Santos Protetora', 'Patriota', 5176]
['Eliseu Gabriel', 'PSB', 4012]
['Elivaldo Nogueira', 'PMN', 3314]
['Eliz Brito', 'PMN', 3309]
['Eliza Muratori', 'PRTB', 2817]
['Ellen Sharkany', 'PL', 2266]
['Ellis Nobrega', 'PROS', 9098]
['Elton', 'PSDB', 4508]
['Ely Gari', 'PMN', 3377]
['Ely Santos', 'Republicanos', 1087]
['Elza Alves', 'PDT', 1270]
['Emanuel Moura', 'Avante', 7079]
['Emerson', 'PMN', 3306]
['Emerson Cruz', 'Patriota', 5109]
['Emerson Dorival Costa', 'PMB', 3580]
['Emerson Duran', 'PROS', 9015]
['Emerson Kapaz', 'PSD', 5505]
['Enfermeira Amanda Maria', 'Solidariedade', 7788]
['Enfermeira Edith Ferreira', 'Solidariedade', 7755]
['Enfermeira Eunice Dantas', 'Solidariedade', 7766]
['Enfermeira Maria Lucia', 'Podemos', 1963]
['Enfermeira Tania Tonet', 'Republicanos', 1037]
['Enfermeiro Erick Eloi', 'PDT', 1201]
['Enrico Misasi', 'MDB', 1536]
['Érica Gorga', 'Patriota', 5151]
['Erika Hilton', 'PSOL', 5070]
['Erika Matos', 'PSDB', 4590]
['Erika Santos', 'PSDB', 4537]
['Ernesto Nóbile', 'Avante', 7044]
['Esnar Ribeiro', 'Republicanos', 1063]
['Evandro Fontinele', 'PSB', 4047]
['Ezequiel de Sá', 'PRTB', 2835]
['Fabia Maria', 'PDT', 1265]
['Fabiana', 'Avante', 7020]
['Fabiana Soler', 'PT', 1307]
['Fabião SJC', 'PSD', 5502]
['Fabio Calixto', 'PT', 1371]
['Fabio Lima', 'AGIR', 3609]
['Fábio Magalhães', 'PSDB', 4507]
['Fábio Manfrinato', 'Patriota', 5114]
['Fabio Manzano', 'MDB', 1518]
['Fabio Meirelles', 'União', 4428]
['Fabio Mello', 'PSOL', 5013]
